,Timestamp,"//*[@style=""background-image: url('http://wayback.archive-it.org/all/20220228073033im_/https://usa.inquirer.net/wp-content/blogs.dir/62/files/2022/02/The-Greater-Fool-Theory-Everything-to-Know-022522-550x275.jpg');""]//*[@id=""buzz-info""]_RELOC",idbuzz-info_SEL,"xpath//*[@id=""buzz-info""]_SEL","//*[@id=""sm_follow_us""]_RELOC",idsm_follow_us_SEL,"xpath//*[@id=""sm_follow_us""]_SEL","//*[@id=""subchannels""]/ul/li[6]_RELOC","xpath//*[@id=""subchannels""]/ul/li[6]_SEL",//footer/section/ul/li[4]/ul/li[10]_RELOC,xpath//html/body/footer/section/ul/li[4]/ul/li[10]_SEL,"//*[@id=""track_radyo""]_RELOC",idtrack_radyo_SEL,class namechbox_SEL,"xpath//*[@id=""track_radyo""]_SEL","//*[@id=""track_inqpop""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" items "")][1]_RELOC",class nameitems_SEL,"xpath//*[@id=""track_inqpop""]/div[3]_SEL","//*[@style=""clear:both;""]_RELOC",xpath//html/body/footer/div_SEL,"//*[@id=""track_fb_report""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" acc_ch "")][1]_RELOC",class nameacc_ch_SEL,"xpath//*[@id=""track_fb_report""]/div[7]_SEL","//*[@id=""sm_bullets""]_RELOC",idsm_bullets_SEL,"xpath//*[@id=""sm_bullets""]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://entertainment.inquirer.net/files/2022/02/2022-02-20T164857Z_1_LYNXMPEI1J095_RTROPTP_4_FILM-UNCHARTED-1536x1024.jpg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-head "")][1]_RELOC",class nameflx-l-head_SEL,"xpath//*[@id=""flx-r-ep""]/div[5]/div/a/div[2]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://entertainment.inquirer.net/files/2022/02/09551274-58BC-4999-B58E-CD2CCEA8B230.jpeg);""]_RELOC",class nameflx-leftbox_SEL,"xpath//*[@id=""flx-gl-left""]/div[5]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2021/12/edsa12082021-768x512.png);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-cat "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsinfo_clr "")][1]_RELOC",class namenewsinfo_clr_SEL,"xpath//*[@id=""flx-gl-left""]/div[2]/div/a/div[1]/span_SEL","//*[@id=""fview-parent""]/*[@id=""op-columns-box""][2]//*[@id=""op-byline""]_RELOC",idop-byline_SEL,"xpath//*[@id=""op-byline""]_SEL","//*[@id=""track_sports""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" clrbar "")][1]_RELOC",class nameclrbar_SEL,"xpath//*[@id=""track_sports""]/div[1]_SEL","//*[@id=""fv-ed-box""]_RELOC",idfv-ed-box_SEL,"xpath//*[@id=""fv-ed-box""]_SEL","//*[@id=""track_fb_report""]/div[2]_RELOC","xpath//*[@id=""track_fb_report""]/div[2]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/isko-willie.png);""]_RELOC","xpath//*[@id=""flx-gl-left""]/div[1]_SEL","//*[@id=""blogo""]_RELOC",idblogo_SEL,"xpath//*[@id=""blogo""]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/WhatsApp-Image-2022-02-28-at-2.09.17-PM.jpeg);""]_RELOC","xpath//*[@id=""flx-gl-left""]/div[4]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/000_324486H-768x512.jpg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-cat "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsinfo_clr "")][1]_RELOC","xpath//*[@id=""flx-gl-mid""]/div[3]/div/a/div[1]/span_SEL"
0,20220302232839,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
1,20220303225625,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
2,20220304234017,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
3,20220306232832,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
4,20220307235340,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
5,20220309234011,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
6,20220310232905,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
7,20220311145138,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
8,20220312232954,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
9,20220314154509,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
10,20220317214022,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
11,20220318215744,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
12,20220319232319,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,False,True,False,True
13,20220320235409,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
14,20220322235128,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
15,20220325232822,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
16,20220326232819,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True
17,20220328232815,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True
