,Timestamp,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[7]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",class nameCapi_SEL,xpath//html/body/div[3]/div/div/div/main/ul/li[7]/a/span[2]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[4]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[13]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[13]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[16]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]_RELOC",class nameDescription_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[16]/article/div_SEL,"//*[@action=""/web/20210923001636/http://animeflv.net/auth/sign_in""]/a[1]/span[1]_RELOC",class namefa-facebook_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div[2]/div/form/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[21]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[21]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[28]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Type"")][1]_RELOC",class nameType_SEL,xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[28]/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[15]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[15]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[19]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Type"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[19]/a/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[2]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[2]/a/span[2]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[11]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Title"")][1]_RELOC",class nameTitle_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[11]/article/div/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[23]/article[1]/a[1]/span[1]/span[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[23]/article/a/span/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[19]/article[1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Estreno"")][1]_RELOC",class nameEstreno_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[19]/article/a/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[12]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[12]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[3]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/p[2]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[3]/article/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Search"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" DpdwCnt"")][1]_RELOC",class nameDpdwCnt_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[20]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[20]/a/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Search"")]_RELOC",class nameSearch_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[14]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/p[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[14]/article/div/p_SEL
0,20210923001636,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
1,20210924215413,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
2,20210925191007,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
3,20210926051944,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
4,20210927110325,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
5,20210930082940,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
6,20211003205646,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
7,20211004221523,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
8,20211005005249,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
9,20211006040808,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
10,20211007022330,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False
11,20211008102552,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
12,20211009175036,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
13,20211010232859,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
14,20211011113514,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
15,20211012214712,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
16,20211014071816,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
17,20211017193456,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
18,20211019024927,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
19,20211023181625,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
20,20211026034047,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
21,20211027232824,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
22,20211102055242,True,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,False
