,Timestamp,"//*[@data-tb-region=""mainpage_block_10""]/div[1]/div[1]_RELOC",class namearticle-card_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div[7]/div/div/div/div_SEL,"//*[@onclick=""window.location.href='/news/548376-cnn-tapper-biden-enemies/'""]_RELOC",class namearticle-card__title_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div[6]/div/div[3]/div/div[2]_SEL,"//*[@data-tb-region=""mainpage_block_08""]/div[3]_RELOC",class namearticle-widget__inner_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div[7]/div/div[2]/div[3]_SEL,"//*[@data-tb-region=""mainpage_block_11""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-card__cover "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media__image "")][1]_RELOC",class namemedia__image_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div[6]/div/div/div/div/div/div_SEL,"//*[@onclick=""window.location.href='/pop-culture/548330-south-park-matt-damon/'""]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section/div/div[9]/div/div[2]/div/div[2]_SEL,"//*[@onclick=""window.location.href='/news/548369-astronomers-anti-satellite-initiative/'""]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section[2]/div/div[4]/div/div/div/div[7]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-listing__list "")]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-card__cover "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media "")][1]_RELOC",class namemedia_SEL,xpath//html/body/div/div[3]/div[4]/div/section[2]/div/div[4]/div/div/div/div/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" layout "")]_RELOC",class namelayout_SEL,xpath//html/body/div_SEL,"//*[@data-tb-region=""mainpage_block_11""]/div[2]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-card__cover "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media "")][1]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section/div/div[6]/div/div[2]/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" header__langs "")]_RELOC",class nameheader__langs_SEL,"xpath//*[@id=""header""]/div/div/div_SEL","//*[@data-tb-region=""mainpage_block_15""]_RELOC",class nameSection-container_SEL,xpath//html/body/div/div[3]/div[4]/div/section[2]/div/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" alternative-links__link "")]_RELOC",class namealternative-links__link_SEL,"xpath//*[@id=""header""]/div/div/div[5]/div/a/div_SEL","//*[@data-tb-region=""mainpage_block_08""]/div[1]/div[1]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section/div/div[7]/div/div[2]/div/div_SEL,"//*[@data-tb-region=""mainpage_block_02""]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section/div/div[3]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-listing__list "")]/div[3]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-card__cover "")][1]_RELOC",class namearticle-card__cover_SEL,xpath//html/body/div/div[3]/div[4]/div/section[2]/div/div[4]/div/div/div/div[3]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" header__line "")]_RELOC",class nameheader__line_SEL,"xpath//*[@id=""header""]/div[2]/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" main-promobox__list "")]/li[3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" main-promobox__cover "")][1]_RELOC",class namemain-promobox__cover_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div/div/div/ul/li[3]/div[2]_SEL,"//*[@data-tb-region=""mainpage_block_21""]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article-card__cover "")][1]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section/div/div[9]/div[2]/div/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Grid-is3to4-sm_is2to3-xs_is1to1 "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" main-banners "")][3]_RELOC",class namemain-banners_SEL,xpath//html/body/div/div[3]/div[4]/div/section/div/div[4]_SEL,"//*[@onclick=""window.location.href='/business/548289-nike-sues-virtual-shoes/'""]_RELOC",xpath//html/body/div/div[3]/div[4]/div/section[2]/div/div/div/div[2]/div[3]/div/div_SEL
0,20220204235527,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,True
1,20220205234001,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,True
2,20220206235135,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
3,20220207234543,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
4,20220208235549,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
5,20220209235236,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
6,20220210233814,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
7,20220211235423,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
8,20220212235417,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
9,20220213235453,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
10,20220214234156,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
11,20220215235547,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
12,20220216235444,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
13,20220217235239,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
14,20220218235430,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
15,20220219233607,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
16,20220220235350,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
17,20220221233556,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
18,20220222235134,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
19,20220223235418,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
20,20220224235309,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
21,20220225234059,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,20220226235912,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
23,20220227235951,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
24,20220228235125,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
25,20220301235219,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
26,20220302235233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,20220303235952,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,20220304235951,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
29,20220305235958,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
30,20220306231016,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
31,20220307234303,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
32,20220308235152,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
33,20220309232034,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
34,20220310231115,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
35,20220311221957,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
36,20220312233456,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
37,20220313234452,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
38,20220314224425,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
39,20220315235410,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,20220316235535,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
41,20220317223920,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
