,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[1]/div[5]/div[1]/div[2]/div[1]/div[1]/input[1]_RELOC",idfxg-externalIconPath_SEL,"xpath//*[@id=""fxg-externalIconPath""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[1]/div[5]/div[1]/div[1]/div[5]/div[1]_RELOC",class namelink_SEL,xpath//html/body/div[2]/div[2]/div/div[5]/div/div/div[5]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[7]/div[2]/div[1]/div[1]/div[1]/div[1]/p[1]_RELOC",xpath//html/body/div[2]/div[2]/div[7]/div[2]/div/div/div/div/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]_RELOC",class namerow_SEL,xpath//html/body/div[2]/div[2]/div[2]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[3]_RELOC",class namefxg-col_SEL,xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[3]_SEL,"//*[@id=""follow-fedex""]_RELOC",class namefxg-title_SEL,idfollow-fedex_SEL,"xpath//*[@id=""follow-fedex""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[6]/div[2]/div[1]/div[1]/div[1]/div[1]/p[2]_RELOC",xpath//html/body/div[2]/div[2]/div[6]/div[2]/div/div/div/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[9]/div[2]/div[1]/div[2]/div[1]/div[1]/p[3]_RELOC",xpath//html/body/div[2]/div[2]/div[9]/div[2]/div/div[2]/div/div/p[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[3]/div[1]/div[1]/p[13]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[3]/div/div/p[13]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[4]/div[1]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[4]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[3]/div[1]/div[1]/p[4]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[3]/div/div/p[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[7]/div[2]/div[1]/div[1]/div[1]/div[1]/p[2]_RELOC",xpath//html/body/div[2]/div[2]/div[7]/div[2]/div/div/div/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[5]/div[2]/div[1]/div[3]/div[1]_RELOC",class namerichtext_SEL,xpath//html/body/div[2]/div[2]/div[5]/div[2]/div/div[3]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]_RELOC",class namefxg-wrapper_SEL,xpath//html/body/div[2]/div[2]/div[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/p[8]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[2]/div/div/p[8]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[4]/div[2]/div[1]/div[2]/div[1]/div[1]/p[4]_RELOC",xpath//html/body/div[2]/div[2]/div[4]/div[2]/div/div[2]/div/div/p[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[2]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[2]/div[2]/div[1]/div[2]/div[1]/div[1]/p[14]_RELOC",xpath//html/body/div[2]/div[2]/div[2]/div[2]/div/div[2]/div/div/p[14]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/p[3]_RELOC",xpath//html/body/div[2]/div[2]/div[3]/div[2]/div/div[2]/div/div/p[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" fxg-content-wrapper "")]/div[2]/div[8]/div[2]/div[1]/div[1]/div[1]/div[1]_RELOC",class namefxg-rte_SEL,xpath//html/body/div[2]/div[2]/div[8]/div[2]/div/div/div/div_SEL
0,20220302211730,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
1,20220303203214,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
2,20220304225053,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
3,20220305233913,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
4,20220306155155,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
5,20220307224704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,20220308210602,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
7,20220309234205,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
8,20220310202538,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
9,20220311132553,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
10,20220312191956,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
11,20220313205001,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
12,20220314204531,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,20220315193826,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
14,20220316195653,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
15,20220317214848,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
16,20220318154211,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
17,20220319205050,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
18,20220320153453,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
19,20220321223657,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
20,20220322220903,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
21,20220323214410,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
22,20220324221908,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
