,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]_RELOC",class namecontent_SEL,"xpath//*[@id=""left""]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][1]_RELOC",class namebox_SEL,"xpath//*[@id=""left""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]/ul[1]/li[9]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" language "")][1]_RELOC",class namelanguage_SEL,"xpath//*[@id=""left""]/div[2]/div/ul/li[9]/div/a/span_SEL","//*[@id=""sidebar-left""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" banner "")][1]_RELOC",class namebanner_SEL,"xpath//*[@id=""sidebar-left""]/div_SEL","//*[@id=""sidebar-left""]_RELOC",idsidebar-left_SEL,"xpath//*[@id=""sidebar-left""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[1]/ul[1]/li[3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]_RELOC",class namename_SEL,"xpath//*[@id=""left""]/div/div[3]/ul/li/ul/li[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" main "")]/ul[1]/li[2]_RELOC",xpath//html/body/header/nav[3]/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[1]/ul[1]/li[1]_RELOC","xpath//*[@id=""left""]/div/div/ul/li/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[1]/ul[1]/li[4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]_RELOC","xpath//*[@id=""left""]/div/div/ul/li/ul/li[4]/div_SEL","//*[@id=""jededplace-2""]_RELOC",class namejededplace_SEL,idjededplace-2_SEL,"xpath//*[@id=""jededplace-2""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]/ul[1]/li[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]_RELOC","xpath//*[@id=""left""]/div[2]/div/ul/li/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[3]_RELOC","xpath//*[@id=""left""]/div/div[3]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[2]/ul[1]/li[4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]_RELOC","xpath//*[@id=""left""]/div/div[3]/ul/li[2]/ul/li[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]/ul[1]/li[5]_RELOC","xpath//*[@id=""left""]/div[2]/div/ul/li[5]_SEL","//*[@id=""logo""]_RELOC",idlogo_SEL,"xpath//*[@id=""logo""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" recent-posts "")]/ul[1]/li[6]_RELOC","xpath//*[@id=""right""]/div/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[3]/ul[1]/li[4]_RELOC","xpath//*[@id=""left""]/div/div[3]/ul/li[3]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" details "")][1]/li[2]/ul[1]/li[5]_RELOC","xpath//*[@id=""left""]/div/div[3]/ul/li[2]/ul/li[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" content "")]/ul[1]/li[8]/*[contains(concat("" "", normalize-space(@class), "" ""), "" name "")][1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" language "")][1]_RELOC","xpath//*[@id=""left""]/div[2]/div/ul/li[8]/div/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-films "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" box "")][2]_RELOC","xpath//*[@id=""left""]/div/div[3]_SEL"
0,20220214033242,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,20220215052016,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
2,20220216045810,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
3,20220217233314,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
4,20220218094233,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
5,20220219222113,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False
6,20220220154237,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False
7,20220221165141,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,20220222182859,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
9,20220223193837,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
10,20220224212559,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
11,20220225223222,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
12,20220226232019,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
13,20220227044428,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
14,20220228054044,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False
15,20220301093942,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,20220302024336,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False
17,20220303105048,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
18,20220304210546,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
19,20220305221852,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
20,20220306231048,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
21,20220307181621,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,20220308111420,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True
