,Timestamp,"//*[@data-dropdown-name=""products""]/ul[1]/li[3]_RELOC","xpath//*[@id=""lpc-header-nav""]/div/div/div[2]/div[4]/ul/li[3]_SEL","//*[@id=""lpc-div-tree.2""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-div-tree-container "")][1]_RELOC",class namelpc-div-tree-container_SEL,"xpath//*[@id=""lpc-div-tree.2""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-video-wrapper "")]_RELOC",class namelpc-video-wrapper_SEL,"xpath//*[@id=""lpc-video""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" x-scroll-animation-theme-target "")]_RELOC",class nameblock-build-images_SEL,"xpath//*[@id=""lpc-div-tree.2""]/div/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" x-menu-overlay "")]_RELOC",class namex-menu-overlay_SEL,"xpath//*[@id=""lpc-header-nav""]/div/div/div[3]/div_SEL","//*[@id=""lpc-plan-business""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plan-features-list "")][1]/li[12]_RELOC",class namelpc-plan-features-list-item_SEL,"xpath//*[@id=""lpc-plan-business""]/ul/li[12]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" x-menu-content "")]/div[2]_RELOC",class namex-menu-list_SEL,"xpath//*[@id=""lpc-header-nav""]/div/div/div[3]/div[2]/div[2]_SEL","//*[@id=""lpc-picture.2""]_RELOC",idlpc-picture.2_SEL,class namelpc_SEL,"xpath//*[@id=""lpc-picture.2""]_SEL","//*[@id=""lpc-plan-ecommerce""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plan-features-list "")][1]/li[6]_RELOC","xpath//*[@id=""lpc-plan-ecommerce""]/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-footer-nav-container "")]/div[1]/ul[1]/li[4]_RELOC","xpath//*[@id=""lpc-footer-nav""]/div/div/div/ul/li[4]_SEL","//*[@id=""lpc-shape""]/div[1]_RELOC",class namelpc-shape-wrapper_SEL,"xpath//*[@id=""lpc-shape""]/div_SEL","//*[@id=""lpc-picture.13""]/div[1]/div[1]_RELOC",class namelpc-picture-container_SEL,"xpath//*[@id=""lpc-picture.13""]/div/div_SEL","//*[@title=""WordPress.com on Twitter""]/span[1]_RELOC",class namelp-hidden_SEL,"xpath//*[@id=""lpc-footer-nav""]/div/div[2]/div[3]/ul/li/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-idb-message__text "")]_RELOC",class namelpc-idb-message__text_SEL,"xpath//*[@id=""lpc-international-discounts-banner""]/template/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" block-grow-features "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" block-grow-features-apps1 "")][1]_RELOC",class nameblock-grow-features-apps1_SEL,"xpath//*[@id=""lpc-div-tree.3""]/div/div/div[2]/div[5]_SEL","//*[@id=""lpc-plan-premium""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plan-features-list "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plans-table-interval-type-annual "")][2]/span[2]_RELOC",class namelpc-plan-features-list-item-title_SEL,"xpath//*[@id=""lpc-plan-premium""]/ul/li[7]/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plans-vip-pitch "")]_RELOC",class namelpc-plans-vip-pitch_SEL,"xpath//*[@id=""plans""]/div/div/div[4]_SEL","//*[@id=""lpc-picture.14""]/div[1]/div[1]/div[2]_RELOC",class namelpc-picture-fill_SEL,"xpath//*[@id=""lpc-picture.14""]/div/div/div[2]_SEL","//*[@id=""lpc-plan-ecommerce""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plan-header "")][1]_RELOC",class namelpc-plan-header_SEL,"xpath//*[@id=""lpc-plan-ecommerce""]/div_SEL","//*[@id=""lpc-plan-ecommerce""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lpc-plan-features-list "")][1]/li[5]/span[1]_RELOC",class namelpc-plan-features-list-item-checkmark_SEL,"xpath//*[@id=""lpc-plan-ecommerce""]/ul/li[5]/span_SEL"
0,20220215235856,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
1,20220216235612,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
2,20220217233449,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
3,20220218234245,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
4,20220219235857,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
5,20220220235507,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
6,20220221235337,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
7,20220222235757,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
8,20220223235825,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
9,20220224235939,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
10,20220225235557,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
11,20220226225724,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False
