,Timestamp,"//*[@id=""c-220930""]/p[1]_RELOC","xpath//*[@id=""c-220930""]/p_SEL","//*[@id=""blockGrid-section-12-1""]/div[1]_RELOC",class namesection__container_SEL,"xpath//*[@id=""blockGrid-section-12-1""]/div_SEL","//*[@id=""c-220893""]/div[1]_RELOC",class namedetail__container_SEL,"xpath//*[@id=""c-220893""]/div_SEL","//*[@id=""c-220851""]/div[1]/div[1]/div[3]/div[1]/h3[1]/span[1]_RELOC",class nameu-nowrap-sm_SEL,"xpath//*[@id=""c-220851""]/div/div/div[3]/div/h3/span_SEL","//*[@data-ga-track-id=""nav_main_header_level2_trainingservices""]/dt[1]/span[1]_RELOC","xpath//*[@id=""header""]/div/div/nav/ul/li[3]/div/div/div[3]/dl/a[2]/dt/span_SEL","//*[@id=""c-193668""]/p[2]_RELOC",class nameu-text-center_SEL,"xpath//*[@id=""c-193668""]/p[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _platformNavItem "")]/div[1]/div[1]/div[3]/ul[1]/li[2]_RELOC",class namelink-group__list__li_SEL,"xpath//*[@id=""header""]/div/div/nav/ul/li/div/div/div[3]/ul/li[2]_SEL","//*[@id=""c-193626""]/div[1]/div[1]/p[1]_RELOC","xpath//*[@id=""c-193626""]/div/div/p_SEL","//*[@id=""c-231052""]/div[1]/div[1]/p[2]_RELOC","xpath//*[@id=""c-231052""]/div/div/p[2]_SEL","//*[@id=""c-194235""]/p[1]_RELOC","xpath//*[@id=""c-194235""]/p_SEL","//*[@id=""wm-media-prev""]_RELOC",idwm-media-prev_SEL,"xpath//*[@id=""wm-media-prev""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" lang-menu__list--up "")]/li[7]_RELOC",class namelang-menu__item_SEL,"xpath//*[@id=""mobile-nav""]/ul/li[7]_SEL","//*[@id=""c-225253""]/div[1]/div[1]/div[1]/div[2]/p[1]/p[1]_RELOC","xpath//*[@id=""c-225253""]/div/div/div/div[2]/p/p_SEL","//*[@id=""section-11-1""]/div[1]_RELOC","xpath//*[@id=""section-11-1""]/div_SEL","//*[@id=""c-278671""]/div[1]/div[1]/div[1]/div[3]_RELOC",class namehero__btn-bar_SEL,idc-185428_SEL,"xpath//*[@id=""c-185428""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" block-grid--md-x4 "")]/li[4]_RELOC",class nameblock-grid__col_SEL,"xpath//*[@id=""blockGrid-1""]/li[4]_SEL","//*[@id=""c-278671""]/div[1]/div[1]/div[1]_RELOC",class namehero__content_SEL,"xpath//*[@id=""c-278671""]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" btn-bar--center "")]_RELOC",class namebtn-bar_SEL,idc-193770_SEL,"xpath//*[@id=""c-193770""]_SEL","//*[@id=""row-1-2""]_RELOC",class namerow_SEL,idrow-1-2_SEL,"xpath//*[@id=""row-1-2""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" _languageMenuMount "")]_RELOC",class namesite-footer__lang-select_SEL,"xpath//*[@id=""footer""]/div[2]/div/div/div_SEL"
0,20220206062500,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
1,20220207163944,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
2,20220209205340,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
3,20220210075220,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
4,20220211031304,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
5,20220212024258,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
6,20220213151415,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
7,20220214023425,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
8,20220215024118,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
9,20220216214209,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
10,20220217024132,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
11,20220218105628,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
12,20220219025649,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
13,20220221015443,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
14,20220222025633,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
15,20220223141853,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
16,20220224034702,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
17,20220225032113,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
18,20220226082157,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
19,20220227041426,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
20,20220228214858,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
21,20220301021343,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
22,20220302205622,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
23,20220305021456,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
24,20220306023218,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
25,20220307122716,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
26,20220308200406,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
27,20220309211337,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
28,20220310184132,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
29,20220311183900,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
30,20220312192842,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
31,20220313142124,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
32,20220314180309,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
33,20220315150759,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
34,20220316233355,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
35,20220317183332,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
36,20220318193312,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
37,20220319190215,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False
