,Timestamp,"//*[@an-la=""merchandising:shop our latest offers and innovations:tvs:vd:the frame tvs:buy now""]/div[1]/div[2]_RELOC",class nameshowcase-card-tab-card__product-description-wrap_SEL,"xpath//*[@id=""content""]/div/div/div[2]/div/div[2]/div/div/div/div/div[2]/div/div[2]/div/div[2]/a/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" disclaimer__inner "")]/div[2]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" disclaimer__show "")][1]_RELOC",class namedisclaimer__show_SEL,"xpath//*[@id=""content""]/div/div/div[2]/div/div[12]/section/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home-kv-carousel__wrapper "")]_RELOC",class namehome-kv-carousel__wrapper_SEL,"xpath//*[@id=""home-kv""]/div/div_SEL","//*[@an-la=""appliances:laundry:see featured products ""]/span[1]_RELOC",class namegnb__depth3-link-text_SEL,"xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div/ul/li[3]/div/div[2]/ul/li[3]/div/div/ul/li[6]/a/span_SEL","//*[@an-la=""appliances:air solutions:see featured products""]/span[1]_RELOC","xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div/ul/li[3]/div/div[2]/ul/li[5]/div/div/ul/li[4]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb__sub "")]/ul[1]/li[1]/div[1]/div[2]/ul[1]/li[1]/div[1]/div[1]/ul[1]/li[1]_RELOC",class namegnb__depth3-menu_SEL,"xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div[2]/ul/li/div/div[2]/ul/li/div/div/ul/li_SEL","//*[@id=""layerInsufficientStock""]/div[1]_RELOC",class namelayer-popup__inner_SEL,"xpath//*[@id=""layerInsufficientStock""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb-search__no-suggestions--hide "")]_RELOC",class namegnb-search__no-suggestions_SEL,"xpath//*[@id=""wrap""]/div[2]/section[2]/div[3]/div/div/div[2]_SEL","//*[@id=""home-kv-carousel-slide-6""]/span[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indicator__label-line "")][1]/span[1]_RELOC",class nameindicator__label-line-filled_SEL,"xpath//*[@id=""home-kv-carousel-slide-6""]/span[2]/span/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb__main "")]/ul[1]/li[5]/div[1]/div[2]/ul[1]/li[4]_RELOC",class namegnb__depth2-menu_SEL,"xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div/ul/li[5]/div/div[2]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" cookie-bar__select-text "")]_RELOC",class namecookie-bar__select-text_SEL,"xpath//*[@id=""header""]/div[2]/div/div[2]/div_SEL","//*[@id=""popup_alert""]_RELOC",idpopup_alert_SEL,class namepopup-nextgen-type_SEL,"xpath//*[@id=""popup_alert""]_SEL","//*[@id=""privacy-terms2""]_RELOC",namecheckbox_SEL,class namehidden_SEL,idprivacy-terms2_SEL,"xpath//*[@id=""privacy-terms2""]_SEL","//*[@id=""home-kv-carousel-slide-4""]/span[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indicator__dot "")][1]/span[1]_RELOC",class nameindicator__dot-inner_SEL,"xpath//*[@id=""home-kv-carousel-slide-4""]/span/span/span_SEL","//*[@an-tr=""co07_key feature tab-home-text-home appliances_bespoke refrigerators""]_RELOC",class nametab__item-title_SEL,"xpath//*[@id=""content""]/div/div/div[2]/div/div[5]/section/div/div/div/ul/li[2]/button_SEL","//*[@id=""carousel-three""]/div[1]/div[1]_RELOC",class namehome-kv-carousel__text-wrap_SEL,"xpath//*[@id=""carousel-three""]/div/div_SEL","//*[@an-la=""search chips:Certified Re Newed""]_RELOC",class namegnb-search__chip_SEL,"xpath//*[@id=""wrap""]/div[2]/section[2]/div[3]/div[2]/button[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" half-teaser-list__item--active "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" half-teaser-list__text "")][1]_RELOC",class namehalf-teaser-list__text_SEL,"xpath//*[@id=""content""]/div/div/div[2]/div/div[8]/section/div/div[2]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb__main "")]/ul[1]/li[3]/div[1]/div[1]/a[1]/span[1]_RELOC","xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div/ul/li[3]/div/div/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb__sub "")]/ul[1]/li[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" gnb__depth-back-wrap "")][1]_RELOC",class namegnb__depth-back-wrap_SEL,"xpath//*[@id=""wrap""]/div[2]/nav/div/div/div[2]/div/div[2]/ul/li/div/div_SEL"
0,20220311222209,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
1,20220312235840,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
2,20220313213139,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
3,20220314235249,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
4,20220315224215,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
5,20220316225154,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
6,20220317211708,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
7,20220318200108,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
8,20220319225228,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
9,20220320233455,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
10,20220321233341,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
11,20220322235547,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
12,20220323235328,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
13,20220324222510,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
14,20220325222432,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
15,20220326213642,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
16,20220327215152,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
17,20220328235121,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False
