,Timestamp,"//*[@onclick=""document.getElementById('hulushop').getElementsByClassName('modal--close')[0].click()""]_RELOC",class namebutton--cta_SEL,"xpath//*[@id=""hulushop""]/div[2]/div[2]/div/div[2]/div/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Billboard__disclaimer "")]_RELOC",class nameBillboard__disclaimer_SEL,"xpath//*[@id=""__next""]/div/div/div/div[3]/div/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-section-container-single "")]/div[1]/div[2]_RELOC",class namefooter--row-section_SEL,"xpath//*[@id=""FooterLg""]/div/div/div/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature "")]/div[13]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__check-0 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet_default "")][1]_RELOC",class nameplan-feature__bullet_default_SEL,"xpath//*[@id=""plans""]/div/div[4]/div[13]/div[2]/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-body__addon_container "")]/div[3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__check-0 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet "")][1]_RELOC",class nameplan-feature__bullet_SEL,"xpath//*[@id=""plans""]/div/div[6]/div[2]/div[3]/div[2]/div_SEL","//*[@id=""legal-modal-masthead""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-dialog "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal--header "")][1]_RELOC",class namemodal--header_SEL,"xpath//*[@id=""legal-modal-masthead""]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Masthead__container "")]_RELOC",class nameMasthead__container_SEL,"xpath//*[@id=""masthead""]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-body__addon_container "")]/div[3]_RELOC",class nameplan-feature-item_SEL,"xpath//*[@id=""plans""]/div/div[6]/div[2]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature-disclaimers "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plans-disclaimer__container "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plans-container__features-container "")][1]_RELOC",class nameplans-container__features-container_SEL,"xpath//*[@id=""plans""]/div/div[5]/div[2]/div_SEL","//*[@id=""bundle-modal""]_RELOC",class namemodal-wrapper_SEL,idbundle-modal_SEL,"xpath//*[@id=""bundle-modal""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature-disclaimers "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plans-disclaimer__container "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plans-container__features-container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plans-container__features-container__disclaimer "")][1]/span[1]_RELOC","xpath//*[@id=""plans""]/div/div[5]/div[2]/div/div/span_SEL","//*[@src=""/web/20220205224751im_/https://www.hulu.com/static/hitch/s3/attachments/ckllond4i0i9w1u7ghnu91j1b-bobsburgers-category-tile-294x450-1x.jpg""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" library__item-overlay "")][1]_RELOC",class namelibrary__item-overlay_SEL,"xpath//*[@id=""library""]/div[2]/div/div/button/div/img/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" TabButtons "")]_RELOC",class nameTabButtons_SEL,"xpath//*[@id=""SpotlightTabs""]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-body__addon_container "")]/div[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__check-0 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet_default "")][1]_RELOC","xpath//*[@id=""plans""]/div/div[6]/div[2]/div[5]/div[2]/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-head-column "")]_RELOC",class namecol-xs-12_SEL,"xpath//*[@id=""plans""]/div/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-dialog__size-small "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal--body "")][1]/div[1]_RELOC","xpath//*[@id=""hulushop""]/div[2]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature "")]/div[14]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__check-0 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__bullet "")][1]_RELOC","xpath//*[@id=""plans""]/div/div[4]/div[14]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature "")]/div[5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plan-feature__separator "")][2]_RELOC",class nameplan-feature__separator_SEL,"xpath//*[@id=""plans""]/div/div[4]/div[5]/div[5]_SEL","//*[@id=""entertainment-modal""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-backdrop "")][1]_RELOC",class namemodal-backdrop_SEL,"xpath//*[@id=""entertainment-modal""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-dialog__actions "")]_RELOC",class namemodal-dialog__actions_SEL,"xpath//*[@id=""hulushop""]/div[2]/div[2]/div/div[2]/div/div_SEL"
0,20220205224750,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
1,20220206223247,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
2,20220207235238,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
3,20220208233053,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
4,20220209234203,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
5,20220210234934,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
6,20220211235017,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
7,20220212233508,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
8,20220213235333,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
9,20220214235716,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
10,20220215235408,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
11,20220216233937,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
12,20220217232826,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
13,20220218235808,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
14,20220219224436,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
15,20220220233251,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
16,20220221234856,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
17,20220222234524,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
18,20220223202351,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True
19,20220224233256,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True
20,20220225235921,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True
21,20220226232416,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True
