,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" mobile-y-search-container "")]/div[1]_RELOC",class namesearch_form--m_SEL,xpath//html/body/header/nav/div/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-wrapper "")]/div[4]_RELOC",class nameswiper-slide_SEL,"xpath//*[@id=""main""]/section[6]/div[2]/div[2]/div/div[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-announcement-banner__content "")]/div[1]_RELOC","xpath//*[@id=""main""]/div/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer--wrap "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--1 "")][1]/*[@aria-expanded=""false""][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--2 "")][1]/li[2]_RELOC",xpath//html/body/footer/div/div/nav/ul/li[2]/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" o-nav--primary "")]//*[@aria-expanded=""false""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--2 "")][1]/li[6]_RELOC",xpath//html/body/header/nav/div/nav/ul/li/ul/li[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" v--centered-on-tablet "")]/*[@data-clog-params=""trigger=solutions""][1]/header[1]/span[1]_RELOC",class namec-promo__subheading_SEL,"xpath//*[@id=""main""]/section[6]/div[2]/div/a[3]/header/span_SEL","//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" u-padding--flush "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-content-container "")][1]/div[2]/div[1]/div[2]_RELOC",class namec-video-snippet_SEL,"xpath//*[@id=""main""]/section[5]/div/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" v--centered-on-tablet "")]_RELOC",class nameo-block-grid_SEL,"xpath//*[@id=""main""]/section[6]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-announcement-banner__text "")]_RELOC",class namec-announcement-banner__text_SEL,"xpath//*[@id=""main""]/div/a/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav__scroller "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav__list "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--1 "")][1]/*[@aria-expanded=""false""][1]/span[1]_RELOC",class namev--main_SEL,"xpath//*[@id=""main_nav""]/div[2]/nav/ul/li/span_SEL","//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" u-padding--flush "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-content-container "")][1]/div[2]/div[1]/div[1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-video-snippet__caption-time "")][1]_RELOC",class namec-video-snippet__caption-time_SEL,"xpath//*[@id=""main""]/section[3]/div/div[2]/div/div/div[2]/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" u-padding-bottom--ultra "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-content-container "")][1]_RELOC",class nameo-content-container_SEL,"xpath//*[@id=""main""]/section[7]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" u-text--left "")]/div[3]/p[1]_RELOC","xpath//*[@id=""main""]/section[6]/div/div/div[3]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav__scroller "")]_RELOC",class namec-nav__scroller_SEL,"xpath//*[@id=""main_nav""]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" u-justify-items--left "")]/div[2]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-video-snippet "")][1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-video-snippet__caption-title "")][1]_RELOC",class namec-video-snippet__caption-title_SEL,"xpath//*[@id=""main""]/section[4]/div/div[2]/div/div/div[2]/span_SEL",//main[1]/section[6]/div[1]_RELOC,"xpath//*[@id=""main""]/section[6]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" u-padding-bottom--large "")]_RELOC","xpath//*[@id=""main""]/section[6]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" swiper-wrapper "")]//*[@data-clog-params=""trigger=https://slack.com/events/webinars/what-is-slack""]/figure[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-type-eyebrow "")][1]_RELOC",class namec-type-eyebrow_SEL,"xpath//*[@id=""main""]/section[6]/div[2]/div[2]/div/div/a/figure/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-locale-new-menu__cols "")]_RELOC",class namec-locale-new-menu__cols_SEL,"xpath//*[@id=""new_locale_overlay_contents""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer--wrap "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--1 "")][1]/*[@aria-expanded=""false""][5]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-nav-level--2 "")][1]/li[3]_RELOC",xpath//html/body/footer/div/div/nav/ul/li[5]/ul/li[3]_SEL
0,20220201231545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20220202201603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20220203234329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20220204135615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20220205230140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20220206113608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20220207231618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20220208224719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20220209203433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20220210161251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20220211200240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20220212215918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20220213155623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20220214231430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20220215230738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20220216212219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20220217202438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20220218215751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20220219211249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20220220105316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20220221234359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20220222213535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
