,Timestamp,"//*[@data-pagetype=""page""]/div[12]/*[@data-name=""left""][1]_RELOC",class namePageGroup_left__kMFKr_SEL,"xpath//*[@id=""__next""]/div[2]/div[12]/div_SEL","//*[@data-section=""moto""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" StandardRightFeed_othersWrap__aQxc2 "")][1]/div[1]/div[1]_RELOC",class nameNamedSectionLinks_title__jAWJL_SEL,"xpath//*[@id=""__next""]/div[2]/div[12]/div[2]/section/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Menu_navWrapper__lQTfH "")]/div[9]/*[@style=""transform: translate(0px, 0);""][1]/a[2]/span[2]_RELOC",class nameCollapsedItem_itemMore__YmNFZ_SEL,"xpath//*[@id=""__next""]/div[2]/div/nav/div/div[9]/div/a[2]/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Menu_navWrapper__lQTfH "")]/div[9]/*[@style=""transform: translate(0px, 0);""][1]/a[7]/span[2]_RELOC","xpath//*[@id=""__next""]/div[2]/div/nav/div/div[9]/div/a[7]/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" Menu_navWrapper__lQTfH "")]/div[9]/*[@style=""transform: translate(0px, 0);""][1]/a[6]/span[2]_RELOC","xpath//*[@id=""__next""]/div[2]/div/nav/div/div[9]/div/a[6]/span[2]_SEL","//*[@data-section=""bigboxg""]/div[1]_RELOC",class nameSectionHeader_sectionHeader__rdhe4_SEL,"xpath//*[@id=""__next""]/div[2]/div[11]/div/section[2]/div_SEL","//*[@id=""flat-link-tech""]_RELOC",idflat-link-tech_SEL,class nameonet-ad_SEL,"xpath//*[@id=""flat-link-tech""]_SEL","//*[@id=""right11stickydesktop""]_RELOC",idright11stickydesktop_SEL,"xpath//*[@id=""right11stickydesktop""]_SEL","//*[@id=""rectangle-pos4""]_RELOC",idrectangle-pos4_SEL,"xpath//*[@id=""rectangle-pos4""]_SEL","//*[@data-section=""moto""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" StandardRightFeed_othersWrap__aQxc2 "")][1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" NamedSectionLinks_list__UzKUs "")][1]_RELOC",class nameNamedSectionLinks_list__UzKUs_SEL,"xpath//*[@id=""__next""]/div[2]/div[12]/div[2]/section/div[2]/div[2]/div[2]_SEL","//*[@data-uuid-ui=""b5698f62-5369-4ef3-833d-c851e2e0bb91""]/div[1]_RELOC",class nameBigCard_BigCardTextWrapper__ytJoa_SEL,"xpath//*[@id=""__next""]/div[2]/div[13]/div/section[2]/div/article/a/div_SEL","//*[@data-section=""bigboxe""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" StandardLeftFeed_StandardLeftFeedItems__b_tOH "")][1]_RELOC",class nameStandardLeftFeed_StandardLeftFeedItems__b_tOH_SEL,"xpath//*[@id=""__next""]/div[2]/div[10]/div/section/div[2]_SEL","//*[@id=""right9stickydesktop""]_RELOC",idright9stickydesktop_SEL,"xpath//*[@id=""right9stickydesktop""]_SEL","//*[@data-section=""moto""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" StandardRightFeed_othersWrap__aQxc2 "")][1]_RELOC",class nameStandardRightFeed_othersWrap__aQxc2_SEL,"xpath//*[@id=""__next""]/div[2]/div[12]/div[2]/section/div[2]_SEL","//*[@data-section=""bigboxn""]/div[1]_RELOC","xpath//*[@id=""__next""]/div[2]/div[15]/div/section[2]/div_SEL","//*[@data-pagetype=""page""]/div[13]//*[@style=""min-height: 211px;""]_RELOC",class nameAdSlotPlaceholder_placeholder__wO7aE_SEL,"xpath//*[@id=""__next""]/div[2]/div[13]/div/div_SEL","//*[@data-uuid-ui=""df46bc5d-a1a6-52aa-87a3-07bcbe2503e4""]/div[1]_RELOC","xpath//*[@id=""__next""]/div[2]/div[12]/div/section/div/article/a/div_SEL","//*[@data-pagetype=""page""]/div[14]/div[2]/div[1]_RELOC",class nameAdSlotPlaceholder_defaultDesktop__a2HZX_SEL,"xpath//*[@id=""__next""]/div[2]/div[14]/div[2]/div_SEL","//*[@id=""flat-topbar""]_RELOC",idflat-topbar_SEL,"xpath//*[@id=""flat-topbar""]_SEL","//*[@data-section=""bigboxe""]/div[1]_RELOC","xpath//*[@id=""__next""]/div[2]/div[10]/div/section/div_SEL"
0,20220826235621,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,True,False,True,False,True,True,True,True,True,False
1,20220827235456,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
2,20220828235508,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
3,20220829220123,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
4,20220830233045,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
5,20220831224641,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
6,20220901225951,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
7,20220902235448,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
8,20220903235654,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
9,20220904235511,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
10,20220905235500,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
11,20220906234450,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
12,20220907235447,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
13,20220908235430,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
14,20220909235610,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
15,20220910235508,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
16,20220911235427,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
17,20220912235506,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
18,20220913234023,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
19,20220914234930,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
20,20220915235454,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
21,20220916235434,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
22,20220917235457,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
23,20220918235439,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
24,20220919235449,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,False
25,20220920234848,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
26,20220921234559,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
27,20220922212301,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
28,20220923194443,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
29,20220924122307,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
