,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" central-featured "")]_RELOC",class namecentral-featured_SEL,"xpath//*[@id=""www-wikipedia-org""]/div[2]_SEL","//*[@id=""js-link-box-pl""]/small[1]/span[1]_RELOC","xpath//*[@id=""js-link-box-pl""]/small/span_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][4]/ul[1]/li[90]_RELOC","xpath//*[@id=""js-lang-lists""]/div[4]/ul/li[90]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][4]/ul[1]/li[7]_RELOC","xpath//*[@id=""js-lang-lists""]/div[4]/ul/li[7]_SEL","//*[@id=""js-lang-lists""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" langlist-large "")][2]/ul[1]/li[7]_RELOC","xpath//*[@id=""js-lang-lists""]/div[2]/ul/li[7]_SEL","//*[@id=""portalBanner_en6C_2021a_txt_2""]_RELOC",class namebanner_SEL,idportalBanner_en6C_2021a_txt_2_SEL,"xpath//*[@id=""portalBanner_en6C_2021a_txt_2""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" other-projects "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project-link "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project-text "")][1]_RELOC",class nameother-project-text_SEL,"xpath//*[@id=""www-wikipedia-org""]/div[11]/div[3]/div/a/div[2]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][4]/ul[1]/li[49]_RELOC","xpath//*[@id=""js-lang-lists""]/div[4]/ul/li[49]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][4]/ul[1]/li[85]_RELOC","xpath//*[@id=""js-lang-lists""]/div[4]/ul/li[85]_SEL","//*[@data-jsl10n=""wikiquote.slogan""]_RELOC",class nameother-project-tagline_SEL,"xpath//*[@id=""www-wikipedia-org""]/div[11]/div[3]/div[8]/a/div[2]/span[2]_SEL","//*[@id=""js-lang-lists""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" langlist-large "")][2]/ul[1]/li[19]_RELOC","xpath//*[@id=""js-lang-lists""]/div[2]/ul/li[19]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][3]/ul[1]/li[53]_RELOC","xpath//*[@id=""js-lang-lists""]/div[3]/ul/li[53]_SEL","//*[@id=""js-lang-lists""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" langlist-large "")][2]/ul[1]/li[22]_RELOC","xpath//*[@id=""js-lang-lists""]/div[2]/ul/li[22]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][3]/ul[1]/li[30]_RELOC","xpath//*[@id=""js-lang-lists""]/div[3]/ul/li[30]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][3]/ul[1]/li[49]_RELOC","xpath//*[@id=""js-lang-lists""]/div[3]/ul/li[49]_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][3]/ul[1]/li[69]_RELOC","xpath//*[@id=""js-lang-lists""]/div[3]/ul/li[69]_SEL","//*[@id=""js-lang-lists""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" langlist-large "")][2]/ul[1]/li[2]_RELOC","xpath//*[@id=""js-lang-lists""]/div[2]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" langlist-tiny "")]/ul[1]/li[28]_RELOC","xpath//*[@id=""js-lang-lists""]/div[5]/ul/li[28]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" other-projects "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project "")][9]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project-link "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" other-project-icon "")][1]_RELOC",class nameother-project-icon_SEL,"xpath//*[@id=""www-wikipedia-org""]/div[11]/div[3]/div[9]/a/div_SEL","//*[@id=""js-lang-lists""]/*[@data-el-section=""secondary links""][3]/ul[1]/li[58]_RELOC","xpath//*[@id=""js-lang-lists""]/div[3]/ul/li[58]_SEL"
0,20220114235935,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
1,20220115235833,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
2,20220116223559,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
3,20220117233716,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
4,20220118235201,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
5,20220119220750,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
6,20220120231402,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
7,20220121232917,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
8,20220122233501,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
9,20220123235756,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
10,20220124235957,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
11,20220125235653,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
12,20220126233500,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
13,20220127234155,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
14,20220128235419,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
15,20220129235159,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
16,20220130234256,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
17,20220131234119,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
18,20220201233423,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
19,20220202232020,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
20,20220203235115,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
