,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" start-page "")]/span[1]_RELOC",class namesr-only_SEL,"xpath//*[@id=""mountId""]/div/main/section/div/div/span/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/div[1]_RELOC",class namefooter-room__home-smart-button-glow_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-content "")]/div[3]_RELOC",class namefooter-content__column_SEL,"xpath//*[@id=""mountId""]/footer/div/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]/p[1]_RELOC",class namesvelte-10yoal6_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[4]/div[2]/span[1]_RELOC",class namearrow-holder_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[4]/div[2]/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__room "")]/div[1]_RELOC",class namefooter-room_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div_SEL","//*[@tabindex=""0""]/span[2]_RELOC","xpath//*[@id=""mountId""]/div/nav/div/button/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]_RELOC",class namefooter-room__home-smart-buttons_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]_RELOC",class namefooter-room__home-smart-button_SEL,"xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[2]/button[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[2]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/button/span_SEL","//*[@id=""mountId""]/div[2]_RELOC",class nameregion-links_SEL,"xpath//*[@id=""mountId""]/div[2]_SEL","//*[@tabindex=""0""]_RELOC",class namesvelte-1cgqpdj_SEL,"xpath//*[@id=""mountId""]/div/nav/div/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[3]/div[2]/p[1]_RELOC","xpath//*[@id=""mountId""]/div/main/section[2]/a[3]/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sub "")]/div[1]_RELOC",class nameholder_SEL,"xpath//*[@id=""mountId""]/div/main/section/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[3]/div[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" svelte-1501524 "")]/a[2]/div[2]_RELOC",class namecontent_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a[2]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-room__home-smart-buttons "")]/div[1]/button[1]/span[1]_RELOC","xpath//*[@id=""mountId""]/footer/div[2]/div/div[2]/div/button/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" tablet-max "")]_RELOC",class namevideo-container_SEL,"xpath//*[@id=""mountId""]/div/main/section[2]/a/div/div[2]/div_SEL"
0,20220203233307,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
1,20220204120041,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2,20220205214440,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
3,20220206221318,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
4,20220207231502,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
5,20220208232239,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
6,20220209173358,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
7,20220210235853,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
8,20220211152437,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
9,20220212213313,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
10,20220213233847,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
11,20220214225345,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
12,20220215212857,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
13,20220216230852,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True
14,20220217181812,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
15,20220218192319,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
16,20220219230409,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False
