,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" topLeft "")]_RELOC",class nametopLeft_SEL,xpath//html/body/div/div/div/div/div/div_SEL,"//*[@id=""aRmsDefer""]_RELOC",idaRmsDefer_SEL,"xpath//*[@id=""aRmsDefer""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" musCardCont "")]/div[2]_RELOC","xpath//*[@id=""vs_cont""]/div/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hp_body "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hpl "")][5]_RELOC",class namehpl_SEL,xpath//html/body/div/div/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" show_none "")]_RELOC",class namescroll_cont_SEL,idscroll_cont_SEL,"xpath//*[@id=""scroll_cont""]_SEL","//*[@data-h=""ID=HpApp,12020.1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icon "")][1]_RELOC",class nameicon_SEL,"xpath//*[@id=""calendar""]/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" musCardCont "")]_RELOC",class namemusCardCont_SEL,"xpath//*[@id=""vs_cont""]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hp_body "")]/div[4]_RELOC",xpath//html/body/div/div/div[4]_SEL,"//*[@id=""images""]_RELOC",class namescope_SEL,idimages_SEL,"xpath//*[@id=""images""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" show "")]_RELOC",class namecarousel_SEL,idcarousel_SEL,"xpath//*[@id=""carousel""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hr "")]_RELOC",class namehr_SEL,"xpath//*[@id=""vs_cont""]/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hp_body "")]/div[5]_RELOC",xpath//html/body/div/div/div[5]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" hp_media_container "")]_RELOC",class namehp_media_container_SEL,xpath//html/body/div/div/div/div[2]_SEL,"//*[@id=""sb_form_go""]_RELOC",idsb_form_go_SEL,namesearch_SEL,"xpath//*[@id=""sb_form_go""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" scope_cont "")]_RELOC",class namescope_cont_SEL,"xpath//*[@id=""hdr""]/div/div_SEL","//*[@id=""nc_iid""]_RELOC",idnc_iid_SEL,"xpath//*[@id=""nc_iid""]_SEL","//*[@id=""local""]_RELOC",class nameoverflow_item_SEL,idlocal_SEL,"xpath//*[@id=""local""]_SEL","//*[@id=""id_s""]_RELOC",idid_s_SEL,"xpath//*[@id=""id_s""]_SEL","//*[@id=""outlook""]_RELOC",idoutlook_SEL,"xpath//*[@id=""outlook""]_SEL","//*[@data-h=""ID=HpApp,27763.1""]/div[1]_RELOC","xpath//*[@id=""vs_cont""]/div/div/div[2]/div/a/div_SEL"
0,20220115233151,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
1,20220116233302,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True
2,20220117235257,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
3,20220118235723,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
4,20220119235933,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
5,20220120235620,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
6,20220121232219,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
7,20220122230132,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
8,20220123225447,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
9,20220124235935,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
10,20220125235520,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
