,Timestamp,"//*[@data-cell-index=""26""]_RELOC",class namecell-container_SEL,"xpath//*[@id=""container""]/div[28]_SEL","//*[@title=""Netlabels""]//*[@id=""items-text""]_RELOC",iditems-text_SEL,class namestyle-scope_SEL,"xpath//*[@id=""items-text""]_SEL","//*[@title=""Community Spirituality and Religion""]//*[@id=""collection-title""]_RELOC",idcollection-title_SEL,"xpath//*[@id=""collection-title""]_SEL","//*[@title=""Videos""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" media-count"")][2]_RELOC",class namemedia-count_SEL,"xpath//*[@id=""mediacount-icon-container""]/a[3]/div[2]_SEL","//*[@title=""Electric Sheep""]//*[@id=""item-count-image-container""]_RELOC",iditem-count-image-container_SEL,"xpath//*[@id=""item-count-image-container""]_SEL","//*[@title=""Live Music Archive""]//*[@id=""item-count-image-container""]_RELOC","//*[@id=""announcements-container""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][3]_RELOC","xpath//*[@id=""announcements-container""]/ul/li[3]_SEL","//primary-nav[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" branding"")][1]_RELOC",class namebranding_SEL,xpath//html/body/app-root/header/ia-topnav/div/primary-nav/nav/div_SEL,"//*[@data-cell-index=""14""]_RELOC","xpath//*[@id=""container""]/div[16]_SEL","//*[@title=""Live Music Archive""]//*[@id=""items-text""]_RELOC","//*[@style=""background-color: #55A183""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-icon"")][2]_RELOC",class namelogo-icon_SEL,xpath//html/body/app-root/modal-manager/div/modal-template/div/div/header/div_SEL,"//*[@title=""Community Spirituality and Religion""]//*[@id=""items-text""]_RELOC","//*[@id=""search_options""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][1]/*[@type=""radio""][1]_RELOC",namesin_SEL,"xpath//*[@id=""search_options""]/fieldset/label/input_SEL","//*[@data-cell-index=""39""]_RELOC","xpath//*[@id=""container""]/div[41]_SEL","//*[@title=""Movies""]//*[@id=""item-count-image-container""]_RELOC","//*[@title=""Arts & Music""]//*[@id=""item-count-image-container""]_RELOC","//*[@title=""Television Archive""]//*[@id=""item-count-stacked-text""]_RELOC",iditem-count-stacked-text_SEL,"xpath//*[@id=""item-count-stacked-text""]_SEL","//*[@data-event-click-tracking=""TopNav|NavMenuMore""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" icon"")][1]_RELOC",class nameicon_SEL,xpath//html/body/app-root/header/ia-topnav/div/primary-nav/nav/media-menu/div/div/nav/div/media-button[8]/a/span_SEL,"//desktop-subnav[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" style-scope"")][1]/li[7]_RELOC",xpath//html/body/app-root/header/ia-topnav/desktop-subnav/ul/li[7]_SEL,"//*[@title=""United States Patent and Trademark Office documents""]//*[@id=""collection-title""]_RELOC"
0,20220201233540,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
1,20220202233918,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
2,20220203235101,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
3,20220204235943,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,20220205232045,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
5,20220206233642,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
6,20220207234808,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
7,20220208235447,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
8,20220209232048,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
9,20220210234544,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
10,20220211231824,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
11,20220212231611,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,20220213233344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,20220214234902,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,True
14,20220215235437,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True
