,Timestamp,"//*[@about=""/node/41276""]/span[1]_RELOC","xpath//*[@id=""block-box-shiny-content""]/div[8]/div/div/div[2]/div/div/div[3]/div/a/span_SEL","//*[@id=""block-menu-v2-submenu-row--7""]/div[2]_RELOC",class namemain-nav--subgroup_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--7""]/div[2]_SEL","//*[@id=""block-menu-v2-submenu-row--5""]/div[2]/ul[1]/li[3]_RELOC",class namemain-nav--item_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--5""]/div[2]/ul/li[3]_SEL","//*[@data-glide-dir=""=0""]_RELOC",class nameglide__bullet_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[8]/div[2]/button_SEL","//*[@id=""block-menu-v2-submenu-row--5""]/div[2]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--5""]/div[2]_SEL","//*[@id=""block-menu-v2-submenu-row""]/div[1]/ul[2]/li[1]/a[1]/div[1]/span[1]_RELOC",class namemain-nav--child-item--title_SEL,"xpath//*[@id=""block-menu-v2-submenu-row""]/div/ul[2]/li/a/div/span_SEL","//*[@about=""/node/76306""]_RELOC",class namemodule-76306_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[7]_SEL","//*[@aria-label=""Solutions""]_RELOC",class namemain-nav--primary-item_SEL,"xpath//*[@id=""block-menu-v2-item--2""]/button_SEL","//*[@style=""background-color: #FFFFFF;""]/div[1]/div[1]/div[1]/div[1]_RELOC",class namenavigation-spotlight--content_SEL,"xpath//*[@id=""block-menu-v2-submenu--6""]/div/div/div/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]_RELOC",class namefooter--mobile__column_SEL,"xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li_SEL","//*[@id=""block-box-shiny-footerlinks-v2""]/li[5]/ul[1]/li[1]/ul[1]/li[9]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2""]/li[5]/ul/li/ul/li[9]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-stripe--row "")]/div[5]/div[1]_RELOC",class nameanim-wrapper_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[2]/div/div[2]/div[5]/div_SEL","//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul[1]/li[5]/a[1]/div[1]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul/li[5]/a/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[6]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[6]_SEL","//*[@id=""block-box-shiny-footerlinks-v2""]/li[3]/ul[1]/li[1]/ul[1]/li[1]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2""]/li[3]/ul/li/ul/li_SEL","//*[@id=""block-menu-v2-submenu-row--7""]_RELOC",idblock-menu-v2-submenu-row--7_SEL,class namemain-nav--row_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--7""]_SEL","//*[@id=""block-menu-v2-submenu-row""]_RELOC",idblock-menu-v2-submenu-row_SEL,"xpath//*[@id=""block-menu-v2-submenu-row""]_SEL","//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul[1]/li[4]/a[1]/div[1]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul/li[4]/a/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[7]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[7]_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[2]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[2]_SEL"
0,20220307175247,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
1,20220308173135,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
2,20220309225747,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
3,20220312214750,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
4,20220313201246,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
5,20220316170522,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
6,20220318185715,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
7,20220319153925,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
8,20220320084850,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
9,20220321190733,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
10,20220322155122,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
11,20220323185709,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
12,20220325181506,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
13,20220326215050,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
14,20220327220354,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
15,20220328234732,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
16,20220329211912,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
17,20220330224508,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
18,20220331230008,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
19,20220401183646,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
20,20220402185931,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
21,20220403234059,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
22,20220404174318,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
23,20220407185922,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
24,20220408230645,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
25,20220409194357,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False
