,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" flyout-quick-entry "")]/li[5]_RELOC","xpath//*[@id=""nav-user-account""]/div/ul/li[5]_SEL","//*[@id=""month""]_RELOC",idmonth_SEL,"xpath//*[@id=""month""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hm-left-store "")]_RELOC",class namehm-left_SEL,"xpath//*[@id=""header""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" flyout-quick-entry "")]/li[2]_RELOC","xpath//*[@id=""nav-user-account""]/div/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" right-shopcart "")]_RELOC",class nameright-shopcart_SEL,"xpath//*[@id=""header""]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" search-cate-title "")]_RELOC",class namesearch-cate-title_SEL,"xpath//*[@id=""search-cate""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ng-sub-title "")]_RELOC",class nameng-sub-title_SEL,"xpath//*[@id=""nav-global""]/div[2]/div/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-cart-box "")]_RELOC",class nameng-item_SEL,"xpath//*[@id=""nav-global""]/div[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-lighthouse "")]_RELOC",class nametop-lighthouse_SEL,idtop-lighthouse_SEL,"xpath//*[@id=""top-lighthouse""]_SEL","//*[@id=""catId""]_RELOC",idcatId_SEL,namecatId_SEL,"xpath//*[@id=""catId""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" searchbar-operate-box "")]_RELOC",class namesearchbar-operate-box_SEL,"xpath//*[@id=""form-searchbar""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" user-account-main "")]_RELOC",class nameuser-account-main_SEL,"xpath//*[@id=""nav-user-account""]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" switcher-common "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" switcher-language "")][2]_RELOC",class nameswitcher-language_SEL,"xpath//*[@id=""nav-global""]/div[3]/div/div/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" switcher-currency-c "")]_RELOC",class nameswitcher-currency-c_SEL,"xpath//*[@id=""nav-global""]/div[3]/div/div/div/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-wishlist "")]_RELOC","xpath//*[@id=""nav-global""]/div[4]/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ng-sub-list "")]/li[1]_RELOC","xpath//*[@id=""nav-global""]/div[2]/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" flyout-welcome-text "")]_RELOC",class nameflyout-welcome-text_SEL,"xpath//*[@id=""nav-user-account""]/div/div/div/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hot-words "")]_RELOC",class namehot-words_SEL,"xpath//*[@id=""header""]/div/div[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ng-setting-proxy "")]_RELOC",class nameng-item-wrap_SEL,"xpath//*[@id=""nav-global""]/div_SEL","//*[@id=""userCountryCode""]_RELOC",iduserCountryCode_SEL,"xpath//*[@id=""userCountryCode""]_SEL"
0,20220119212735,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
1,20220120231043,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
2,20220121165555,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
3,20220122231441,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
4,20220123160339,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
5,20220124233235,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
6,20220125233909,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
7,20220126224844,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
8,20220127215309,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
9,20220128215230,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
10,20220129235917,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
11,20220130173242,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
12,20220131234516,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1
