,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--interior- "")]/ul/li[1]_RELOC",class namep-catList_items_item_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[8]/li[1]/a/ul/li[1]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_93032_3151');""]/div[2]/p[2]_RELOC",class namec-feed_lines_ttl_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[15]/div[2]/a/div[2]/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/ul/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_-bb-_item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_-bb-_item_price "")][1]/span[3]_RELOC",class namep-ranking_-bb-_item_price_par_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/ul/li[3]/div/div[1]/p[4]/span[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[26]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][1]_RELOC",class namec-feed_cell_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[26]/div[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[7]_RELOC",class namec-feed_row_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[7]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92912_3151');""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",class namep-cat_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[22]/div[3]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--outdoor- "")]/ul/li[5]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[5]/li[2]/a/ul/li[5]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_91714_3151');""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[23]/div[3]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2-2column "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_wrap "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_cell "")][1]_RELOC",class namec-list2_cell_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[6]/div[3]/div/ul[2]/li[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--game- "")]/ul/li[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[10]/li[1]/a/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[2]/div[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" s-biggerlink "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_wrap "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont_item "")][1]/p[2]/span[2]_RELOC",class namec-num_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/div[2]/ol/li[2]/div/div[1]/p[2]/span[2]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92913_3151');""]/div[2]/p[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[19]/div[2]/a/div[2]/p[2]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92768_3151');""]/div[2]/p[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[25]/div[1]/a/div[2]/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/ul/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]_RELOC",class namec-positioning_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/ul/li[1]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[16]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[16]/div[2]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-map-outbound "")]/ul/li[3]_RELOC",class namep-inform_item_SEL,xpath//html/body/div[1]/div[1]/div[3]/div[2]/ul/li[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" l-h_campaignTtl "")]_RELOC",class namel-h_campaignTtl_SEL,xpath//html/body/div[1]/div[1]/div[1]/div/div[1]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[12]/div[2]/a/div[2]/div_RELOC",class namec-feed_lines_icons_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[12]/div[2]/a/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_ttl--contactlens- "")]_RELOC",class namep-catList_ttl_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[9]/li[1]/a/p_SEL
0,20220219220423,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
1,20220224110031,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
2,20220227170904,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
3,20220228162429,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
4,20220301180124,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
5,20220302222512,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
6,20220305215836,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
7,20220306233654,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
8,20220307182112,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
9,20220308204149,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
10,20220311202413,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True
11,20220312233424,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
12,20220314130442,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True
13,20220318192144,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
14,20220319233144,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
15,20220320231528,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
16,20220322060913,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False
17,20220323092154,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False
18,20220325145829,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
19,20220326234819,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
20,20220328141928,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True
21,20220329233828,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True
22,20220330204255,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True
23,20220402162715,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True
24,20220403141053,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True
25,20220405200706,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
26,20220406230620,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True
27,20220407083346,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
