,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__lang"")]_RELOC",class namesidemenunav__lang_SEL,"xpath//*[@id=""side-menu-header""]/section[6]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" disclosuremodal"")]_RELOC",class namedisclosuremodal_SEL,xpath//html/body/div/div[6]_SEL,"//*[@id=""product-sidenav-1""]_RELOC",idproduct-sidenav-1_SEL,class namesidemenunav__secondary--section__submenu_SEL,"xpath//*[@id=""product-sidenav-1""]_SEL","//*[@id=""product-sidenav-4""]//*[@data-pt-name=""hd_sm_fs_compcl""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--title"")][1]_RELOC",class namesidemenunav__secondary__prim--title_SEL,"xpath//*[@id=""product-sidenav-4""]/div/ul/li/a/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" home__body"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenu__overlay"")][1]_RELOC",class namesidemenu__overlay_SEL,xpath//html/body/div/div[5]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" speedbump"")]_RELOC",class namespeedbump_SEL,xpath//html/body/div/div[7]_SEL,"//*[@id=""product-5""]/_RELOC",class nameheader-navigation__dropdown--last-link_SEL,"xpath//*[@id=""product-5""]/ul/li[6]_SEL","//*[@id=""side-menu-header""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__section"")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__section--title__container"")][1]_RELOC",class namesidemenunav__section--title__container_SEL,"xpath//*[@id=""side-menu-header""]/section[5]/div_SEL","//*[@id=""side-menu-header""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__section"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__prim"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__prim--link"")][3]_RELOC",class namesidemenunav__prim--link_SEL,"xpath//*[@id=""side-menu-header""]/section[3]/div/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][5]//*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")]_RELOC",xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[5]/div/div[2]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][7]//*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")]_RELOC",xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[7]/div/div[2]/ul/li_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][6]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--tile"")][1]_RELOC",class namefooter__module-footer__section--tile_SEL,xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[6]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][8]//*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")]_RELOC",xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[8]/div/div[2]/p[2]_SEL,"//*[@data-headingid=""disclosureHeadingId""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accessible-text"")][2]_RELOC",class nameaccessible-text_SEL,xpath//html/body/div/div[6]/div/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][3]//*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")]_RELOC",class namecontent_SEL,xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[3]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][6]//*[contains(concat("" "", normalize-space(@class), "" ""), "" content"")]_RELOC",xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[6]/div/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" noscript"")]_RELOC",class namenoscript_SEL,"xpath//*[@id=""main""]/div[2]/div/div_SEL","//*[@id=""product-sidenav-5""]//*[@data-pt-name=""hd_sm_fs_invadv""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--title"")][1]_RELOC","xpath//*[@id=""product-sidenav-5""]/div/ul/li[2]/a/p_SEL","//*[@data-id=""product-customer-service""]_RELOC",class namesidemenunav__prim--links_SEL,"xpath//*[@id=""side-menu-header""]/section[4]/div[2]/ul/li[2]/button_SEL","//*[@id=""chase-header-logo-hat""]_RELOC",idchase-header-logo-hat_SEL,"xpath//*[@id=""chase-header-logo-hat""]_SEL"
0,20220313211027,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
1,20220314234406,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
2,20220315234530,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
3,20220316231609,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
4,20220317233032,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
5,20220318213822,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
6,20220319205848,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
7,20220320191506,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
8,20220321234146,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
9,20220322223346,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
10,20220323201727,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
11,20220324222521,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
12,20220325233359,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
13,20220326223557,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
14,20220327210559,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
15,20220328235555,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
16,20220329195751,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
17,20220330234259,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
18,20220331225854,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
19,20220401221315,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
20,20220402233158,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
21,20220403192044,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
22,20220404222915,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
23,20220405231128,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True
