,Timestamp,//main/div/div[15]/div/div/ul/li/div/div/div_RELOC,class namessrcss-1gi6l8c-PromoContent_SEL,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li/div/div/div_SEL",//main/div/div[6]/div/div/ul/li[2]/div/div/div[2]/div/div/span_RELOC,class namessrcss-o5pw9a-Placeholder_SEL,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[2]/div/div/div[2]/div/div/span_SEL",//main/div/div[15]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div/dd/span_RELOC,class namessrcss-8g95ls-MetadataSnippet_SEL,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div/dd/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1va5u92-GlobalNavigationContent"")]/div[2]/div/a/span_RELOC",class namessrcss-1tmabzc-IconWrapper_SEL,"xpath//*[@id=""header-content""]/div[2]/nav/div/div/div[2]/div/a/span_SEL",//main/div/div[23]/div/nav/div/ul/li[4]/div/div/div[2]_RELOC,class namessrcss-z60stg-PromoImageContainer_SEL,"xpath//*[@id=""main-content""]/div/div[23]/div/nav/div/ul/li[4]/div/div/div[2]_SEL",//main/div/div[13]/div/div/ul/li[2]/div/div/div/div/a/span/p/span_RELOC,"xpath//*[@id=""main-content""]/div/div[13]/div/div/ul/li[2]/div/div/div/div/a/span/p/span_SEL",//main/div/div[19]/div/div/ul/li[2]/div/div/div/div[2]/div_RELOC,"xpath//*[@id=""main-content""]/div/div[19]/div/div/ul/li[2]/div/div/div/div[2]/div_SEL",//main/div/div[2]/div/div/ul/li/div/div/div[2]/div_RELOC,class namessrcss-17h6w1t-PromoImageContainerInner_SEL,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li/div/div/div[2]/div_SEL",//main/div/div[6]/div/div/ul/li[3]/div/div_RELOC,class namessrcss-y4q8z6-PromoSwitchLayoutAtBreakpoints_SEL,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[3]/div/div_SEL",//main/div/div[3]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div_RELOC,class namessrcss-8d0yke-MetadataStripItem_SEL,"xpath//*[@id=""main-content""]/div/div[3]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div_SEL",//main/div/div[12]/div/div/ul/li/div/div/div/div[2]_RELOC,class namessrcss-1tha3dg-Stack_SEL,"xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li/div/div/div/div[2]_SEL",//main/div/div[6]/div/div/ul/li[3]/div/div/div/div_RELOC,class namessrcss-1cbga70-Stack_SEL,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[3]/div/div/div/div_SEL",//main/div/div[15]/div/div/ul/li/div/div/div/div/a/span/p/span[2]_RELOC,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li/div/div/div/div/a/span/p/span[2]_SEL",//main/div/div[8]/div/div/ul/li/div/div/div/div[2]/div/dl/div_RELOC,"xpath//*[@id=""main-content""]/div/div[8]/div/div/ul/li/div/div/div/div[2]/div/dl/div_SEL",//main/div/div[5]/div/div/ul/li[2]/div/div/div[2]/div_RELOC,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li[2]/div/div/div[2]/div_SEL",//main/div/div[6]/div/div/ul/li[3]/div/div/div[2]_RELOC,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[3]/div/div/div[2]_SEL",//main/div/div[12]/div/div/ul/li/div_RELOC,class namessrcss-lhuji8-Promo_SEL,"xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li/div_SEL",//main/div/div[15]/div/div/ul/li[2]/div_RELOC,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li[2]/div_SEL",//main/div/div[5]/div/div/ul/li/div/div/div[2]/div/div_RELOC,class namessrcss-fec6qv-ImageWrapper_SEL,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li/div/div/div[2]/div/div_SEL",//main/div/div[2]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div/dd/span_RELOC,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li[2]/div/div/div/div[2]/div/dl/div/dd/span_SEL"
0,20211129235245,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True
1,20211130232856,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True
2,20211201235345,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
3,20211202234027,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
4,20211203215831,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
5,20211204230223,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
6,20211205232623,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True
7,20211206221613,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
8,20211207232356,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
9,20211208231615,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
10,20211209233533,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
11,20211210234152,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
12,20211211231611,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
13,20211212231616,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True
14,20211213235937,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
15,20211214235550,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
16,20211215235709,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
17,20211216235352,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
18,20211217225514,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True
19,20211218234203,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
20,20211219231630,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True
21,20211220234356,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
22,20211221222159,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,True
23,20211222231645,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
24,20211223231628,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,True
25,20211224231646,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,True
