,Timestamp,"//*[@id=""id-1835b3d4722572c833bb04a48b40bab4""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" spectrum-Button"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" spectrum-Button-label"")]_RELOC",class namespectrum-Button-label_SEL,"xpath//*[@id=""id-1835b3d4722572c833bb04a48b40bab4""]/div[2]/a/span_SEL","//*[@id=""id-4e703435b5dcf4893a5da9a491d94e65""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" cmp-text"")]_RELOC",class namecmp-text_SEL,"xpath//*[@id=""id-4e703435b5dcf4893a5da9a491d94e65""]/div/div/div_SEL","//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" position"")][3]_RELOC",class nameposition_SEL,"xpath//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/div/div[3]_SEL","//*[@id=""id-1338a6a1649c45b7325ea036d177f751""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" horizontalRule"")][2]_RELOC",class namehorizontalRule_SEL,"xpath//*[@id=""id-1338a6a1649c45b7325ea036d177f751""]/div/div[2]_SEL","//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]_RELOC",idid-62c96bc393c9f6749b9df57cc26f8552_SEL,class namedexter-Position_SEL,"xpath//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]_SEL","//*[@id=""id-e1a4fe092f304deb11b6847a90ae5fc6""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" position"")]_RELOC","xpath//*[@id=""id-e1a4fe092f304deb11b6847a90ae5fc6""]/div/div[2]_SEL","//*[@id=""row1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")]_RELOC",class namedexter-FlexContainer-Items_SEL,"xpath//*[@id=""row1""]/div_SEL","//*[@id=""id-ed5e366136059f3c5c9c9782258ac343""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" position"")]_RELOC","xpath//*[@id=""id-ed5e366136059f3c5c9c9782258ac343""]/div/div_SEL","//*[@id=""row6""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")]_RELOC","xpath//*[@id=""row6""]/div_SEL","//body//*[contains(concat("" "", normalize-space(@class), "" ""), "" xf-content-height"")]_RELOC",class namexf-content-height_SEL,xpath//html/body/div/div_SEL,"//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-Cta"")]_RELOC",class namedexter-Cta_SEL,"xpath//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/div/div[7]/div_SEL","//*[@id=""pod2""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")]_RELOC","xpath//*[@id=""pod2""]/div_SEL","//*[@id=""id-255bc257f982fc5a46d633bc442d4d99""]_RELOC",idid-255bc257f982fc5a46d633bc442d4d99_SEL,class namedexter-FlexContainer_SEL,"xpath//*[@id=""id-255bc257f982fc5a46d633bc442d4d99""]_SEL","//*[@id=""id-f55b29be16567479a8760a03795fc918""]_RELOC",idid-f55b29be16567479a8760a03795fc918_SEL,"xpath//*[@id=""id-f55b29be16567479a8760a03795fc918""]_SEL",//ul/li[20]_RELOC,"xpath//*[@id=""languageNavigation""]/nav/ul/li[20]_SEL",//ul/li[38]_RELOC,"xpath//*[@id=""languageNavigation""]/nav/ul/li[38]_SEL",//ul/li[51]_RELOC,"xpath//*[@id=""languageNavigation""]/nav/ul/li[51]_SEL","//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" cta"")]_RELOC",class namecta_SEL,"xpath//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]/div/div_SEL","//body//*[contains(concat("" "", normalize-space(@class), "" ""), "" modal"")]_RELOC",class namemodal_SEL,xpath//html/body/div[4]/div_SEL,"//*[@id=""marquee""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" xf-content-height"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")]_RELOC",class nameaem-Grid_SEL,"xpath//*[@id=""marquee""]/div/div/div/div/div_SEL"
0,20220220225111,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True
1,20220221234317,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True
2,20220222232927,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
3,20220223232334,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
4,20220224215822,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
5,20220225231852,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
6,20220226235921,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
7,20220227231305,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
8,20220228234439,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
9,20220301235957,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
10,20220302235129,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
11,20220303224216,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
12,20220304233216,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
13,20220305230330,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
14,20220306235501,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
15,20220307231210,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
16,20220308235951,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
17,20220309234344,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
18,20220310223741,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,True
