,Timestamp,"//*[@data-role=""filters""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mp7g_oh"")]_RELOC",class namemp7g_oh_SEL,xpath//html/body/div[3]/div[3]/header/div/div/div/div/form/div[3]/div_SEL,"//*[@data-analytics-view-custom-item-id=""8587242760""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mp7g_f6"")]_RELOC",class namemp7g_f6_SEL,"xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[6]/div/div[2]_SEL","//*[@data-analytics-view-custom-item-id=""8519977227""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" msa3_z4"")]_RELOC",class namemsa3_z4_SEL,"xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[3]/div/div[3]/ul/li/span[2]_SEL","//*[@data-analytics-view-custom-item-id=""11199119152""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" munh_8"")]_RELOC",class namemunh_8_SEL,xpath//html/body/div[3]/div[4]/div/div/div[2]/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/div/div/div/div[2]/div/div[3]_SEL,"//*[@data-analytics-view-custom-item-id=""8587242760""]_RELOC",class namecarousel-item_SEL,"xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[6]/div_SEL","//*[@data-analytics-view-custom-item-id=""10692182075""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" msa3_z4"")]_RELOC","xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[5]/div/div[2]/ul/li/span[2]_SEL","//*[@data-analytics-view-custom-item-id=""11231882244""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" munh_8"")]/ul/li_RELOC",class namemg9e_8_SEL,"xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[9]/div/div[2]/ul/li_SEL","//*[@data-box-name=""allegro.multisearch.modal""]/*[@data-role=""modal""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" _fvroe"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mh36_0"")]_RELOC",class namemh36_0_SEL,xpath//html/body/div[3]/div[2]/div/div[2]/div_SEL,"//*[@data-box-name=""structure-commercial:whole-day-offers""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" opbox-sheet-wrapper"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" opbox-sheet"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mzmg_6m"")][2]_RELOC",class namemzmg_6m_SEL,xpath//html/body/div[3]/div[4]/div/div/div[2]/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div[2]_SEL,"//*[@data-box-name=""wrapper""]_RELOC",xpath//html/body/div[3]/div[4]/div/div/div/div/div/div_SEL,"//*[@data-box-name=""header-layer-automotive-desktop""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" opbox-sheet-wrapper"")]_RELOC",class nameopbox-sheet-wrapper_SEL,xpath//html/body/div[3]/div[4]/div/div/div/div/div/div/div/div/div[2]/div/nav/div/div/div[2]/div/div/div[10]/div/div/div_SEL,"//*[@data-box-name=""allegro.multisearch.modal""]//*[@data-analytics-interaction-value=""modalClose_crossButton""]_RELOC",class namemgn2_14_SEL,xpath//html/body/div[3]/div[2]/div/div[2]/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" side-nav"")]_RELOC",class nameside-nav_SEL,xpath//html/body/div[2]_SEL,"//*[@data-box-name=""layout.outer.container""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" opbox-sheet-wrapper"")]_RELOC",xpath//html/body/div[3]/div[4]/div/div/div/div/div/div/div/div/div[2]/div/div[3]/div/div_SEL,"//*[@data-box-name=""Centrum pomocy""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" msts_9u"")]_RELOC",class namemsts_9u_SEL,"xpath//*[@id=""user-menu-panel2""]/div/div/div/div/div[3]/div_SEL","//*[@data-analytics-view-custom-item-id=""11231882244""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" munh_8"")]/ul/*[contains(concat("" "", normalize-space(@class), "" ""), "" mg9e_8"")][2]_RELOC","xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[9]/div/div[2]/ul/li[2]_SEL","//*[@data-analytics-view-custom-item-id=""11325576462""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" _qnmdr"")]_RELOC",class name_qnmdr_SEL,"xpath//*[@id=""carousel-carouselforoffers-36e4e""]/div/div/div/div/div[8]/div/div[2]/ul/li[2]/span/span_SEL","//*[@data-box-name=""structure-commercial:whole-day-offers""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" _d7szm"")]_RELOC",class name_d7szm_SEL,xpath//html/body/div[3]/div[4]/div/div/div[2]/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div/div[2]/span_SEL,"//*[@data-group-id=""departments_Kultura i rozrywka""]_RELOC",xpath//html/body/div[3]/div[4]/div/div/div/div/div/div/div/div/div[2]/div/nav/div/div/div[2]/div/div/div[8]_SEL,"//*[@data-box-name=""allegro.multisearch.modal""]//*[@data-role=""modal-content-container""]_RELOC",class name_2sd1r_SEL,xpath//html/body/div[3]/div[2]/div/div[2]/div/div/div[2]_SEL
0,20211107222436,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True
1,20211110174132,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
2,20211111232948,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
3,20211112220101,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
4,20211114225410,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
5,20211116225201,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
6,20211118232734,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
7,20220202224446,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
8,20220204210032,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
9,20220205222958,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
10,20220206221815,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
11,20220210235800,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
12,20220211212438,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
13,20220212232033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
14,20220213210803,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
15,20220214235528,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
16,20220215232604,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
17,20220216221547,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
18,20220217234609,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
19,20220218155626,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
20,20220219235903,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
21,20220220224927,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
